family,quarter,mean,sem,count,construct,arm
Divergent,Q3,0.5998512449753198,0.0476912507645503,70,con,Persona
Divergent,Q4,0.5244982460145268,0.03906124831002616,65,con,Persona
Rational,Q1,0.5060661525159729,0.10042057422668782,22,con,Persona
Rational,Q2,0.7855630747471765,0.11652368069227229,20,con,Persona
Rational,Q3,0.5900939438925904,0.09255202266578919,18,con,Persona
Rational,Q4,0.4817543629336412,0.09035775511543369,20,con,Persona
GPT,Q1,0.4621643626039083,0.02763495053733265,261,con,GPT
GPT,Q2,0.5118325789917685,0.023094166273627443,205,con,GPT
GPT,Q3,0.47634671071541695,0.022693086081175647,207,con,GPT
GPT,Q4,0.43584222277186685,0.021229793751263066,205,con,GPT
BoundedRational,Q1,0.007660182666428637,0.007226953531183374,22,cri,Persona
BoundedRational,Q2,0.09474834675499148,0.06271248218642156,20,cri,Persona
BoundedRational,Q3,0.09449869792671335,0.05550116665052997,17,cri,Persona
BoundedRational,Q4,0.0903900295021956,0.048325934155170565,20,cri,Persona
Convergent,Q1,0.03357424792650659,0.010970371208459827,109,cri,Persona
Convergent,Q2,0.12555649968624272,0.023395259450030917,91,cri,Persona
Convergent,Q3,0.09036263807160445,0.016336727948132273,85,cri,Persona
Convergent,Q4,0.11825338265956314,0.022578316036418262,91,cri,Persona
Divergent,Q1,0.035179272990385486,0.015771760629620397,93,cri,Persona
Divergent,Q2,0.13130491210603695,0.03305355285197196,65,cri,Persona
Divergent,Q3,0.11173355153796902,0.023059013726934807,70,cri,Persona
Divergent,Q4,0.10832089678762019,0.022792471546834447,65,cri,Persona
Rational,Q1,0.05916148141947268,0.041921912415415444,22,cri,Persona
Rational,Q2,0.37109864526288566,0.11703046463107576,20,cri,Persona
Rational,Q3,0.2804121423002191,0.11406837568428099,18,cri,Persona
Rational,Q4,0.16691405390712583,0.06036735892500273,20,cri,Persona
GPT,Q1,0.0300663243034069,0.00583260687114266,261,cri,GPT
GPT,Q2,0.13761312793467437,0.016005222508831386,205,cri,GPT
GPT,Q3,0.11902677315874892,0.014704421147218653,207,cri,GPT
GPT,Q4,0.1217384223946227,0.014253318157823401,205,cri,GPT
BoundedRational,Q1,1.54260230144894,0.10296468549278945,22,cer,Persona
BoundedRational,Q2,1.875769211427425,0.08091621156529065,20,cer,Persona
BoundedRational,Q3,1.8731603631600915,0.08401859921846132,17,cer,Persona
BoundedRational,Q4,1.993973243300894,0.07166809481988022,20,cer,Persona
Convergent,Q1,1.559047972374253,0.046034170491025435,109,cer,Persona
Convergent,Q2,1.9337553831663123,0.0263798266149669,91,cer,Persona
Convergent,Q3,1.9505130539232571,0.03145659369004141,85,cer,Persona
Convergent,Q4,1.8620710763842068,0.038125953248401914,91,cer,Persona
Divergent,Q1,1.5711552124123125,0.049391826294403356,93,cer,Persona
Divergent,Q2,1.8931872714569105,0.03570597846300216,65,cer,Persona
Divergent,Q3,1.9237122711867183,0.029276304693905107,70,cer,Persona
Divergent,Q4,1.8901146092456482,0.03559250896682167,65,cer,Persona
Rational,Q1,1.6451393427840715,0.11957022960849752,22,cer,Persona
Rational,Q2,1.9889638305193542,0.05303077696060429,20,cer,Persona
Rational,Q3,1.878420612459321,0.09710477072442446,18,cer,Persona
Rational,Q4,1.8797859267676824,0.03953896330523235,20,cer,Persona
GPT,Q1,1.5706966261661996,0.028977642681415384,261,cer,GPT
GPT,Q2,1.8261397009196638,0.02198022853653136,205,cer,GPT
GPT,Q3,1.787247315534627,0.023217847946025397,207,cer,GPT
GPT,Q4,1.7697406070056168,0.023627855152049983,205,cer,GPT
BoundedRational,Q1,0.04979954358247429,0.04116867862195989,22,com,Persona
BoundedRational,Q2,0.192101130114148,0.05756550100996423,20,com,Persona
BoundedRational,Q3,0.17765601461711483,0.039163877771006765,17,com,Persona
BoundedRational,Q4,0.376671488801483,0.07777063656350935,20,com,Persona
Convergent,Q1,0.046370893276324786,0.009534191661091347,109,com,Persona
Convergent,Q2,0.2329528730508187,0.019196631489016895,91,com,Persona
Convergent,Q3,0.30006538715346465,0.025416776575946074,85,com,Persona
Convergent,Q4,0.3616607777830335,0.03237129533438309,91,com,Persona
Divergent,Q1,0.027700231452998124,0.007369423555677074,93,com,Persona
Divergent,Q2,0.2645537846820842,0.025554383308500822,65,com,Persona
Divergent,Q3,0.2808890044636438,0.025502227848075387,70,com,Persona
