User_id,u_cer__GPT,u_cer__Persona,u_com__GPT,u_com__Persona,u_con__GPT,u_con__Persona,u_cri__GPT,u_cri__Persona,u_exp__GPT,u_exp__Persona,u_prop__GPT,u_prop__Persona,u_ref__GPT,u_ref__Persona,a_cer__GPT,a_cer__Persona,a_com__GPT,a_com__Persona,a_con__GPT,a_con__Persona,a_cri__GPT,a_cri__Persona,a_exp__GPT,a_exp__Persona,a_prop__GPT,a_prop__Persona,a_ref__GPT,a_ref__Persona,family,du_exp,da_exp,du_con,da_con,du_cri,da_cri,du_cer,da_cer,du_com,da_com,du_ref,da_ref,du_prop,da_prop
24,1.648330840179233,1.7290585768779256,0.16085719536405485,0.13595233220844724,0.28472054684562415,0.46076703822664494,0.16512503500421663,0.013264113739724146,0.40137339057504645,0.2834078630934896,0.5515111085316446,0.5387278507066704,0.02528014708899663,0.11693664030608016,2.0689940434105405,2.063682385409698,0.20593272754336633,0.12009008384996722,1.3961153162688065,1.4195577150332013,0.013244550580260483,0.171417163482103,1.182586841812569,0.791126901385025,1.1181318382303969,1.1072994058475116,0.36992843416249616,0.17332095145543128,Convergent,-0.11796552748155686,-0.39145994042754395,0.1760464913810208,0.0234423987643948,-0.1518609212644925,0.15817261290184254,0.08072773669869271,-0.005311658000842545,-0.02490486315560761,-0.08584264369339911,0.09165649321708352,-0.19660748270706488,-0.012783257824974248,-0.010832432382885226
25,1.9494283651937696,1.940427835279222,0.23217738677766062,0.1489434669597644,0.5628634291248703,0.8473575856140695,0.011745627039711659,0.1340456605492662,0.332316317944321,0.4345143758343202,0.976041264071898,1.153369634712536,0.02715749403888827,0.0388190164551328,1.8189717244477197,1.9708013350014713,0.1264889756665201,0.2693423521776607,0.8129958112660509,1.3256774049123483,0.0028909702367840573,0.13250894650415687,0.9931957855752873,0.9067009555879706,0.8631264715202798,1.1240530148506391,0.3368918726625602,0.10061994945403381,Convergent,0.1021980578899992,-0.08649482998731672,0.2844941564891992,0.5126815936462974,0.12230003350955454,0.12961797626737281,-0.009000529914547695,0.15182961055375155,-0.08323391981789621,0.14285337651114063,0.011661522416244529,-0.2362719232085264,0.177328370640638,0.26092654333035936
27,1.8450343226700294,1.8431497101114043,0.24915637183398057,0.15134050183072778,0.6155063876004156,0.5622620060011858,0.07142793515783341,0.14030537658709752,0.3874574856143934,0.39051862098305307,0.9941498343465078,0.768271426943033,0.033362929927496204,0.06732888507432924,1.9949133090130071,1.9867985497221707,0.2508224691260881,0.25215509241893724,1.2899743050688406,1.667849840435302,0.04574419023836891,0.01215463720042091,0.8597855809919266,0.811793436693013,1.115482470696821,0.8906265622149624,0.03563472123336795,0.10100330429736529,Convergent,0.003061135368659651,-0.04799214429891363,-0.05324438159922984,0.37787553536646135,0.06887744142926411,-0.033589553037948,-0.0018846125586251539,-0.008114759290836382,-0.09781587000325279,0.0013326232928491666,0.03396595514683304,0.06536858306399734,-0.22587840740347487,-0.22485590848185855
28,1.8524535807230877,1.9276755414210653,0.1788605603057117,0.3743256892640486,0.6838200137917688,0.6290030090963056,0.015799524085284743,0.18257381448792245,0.5626219153806934,0.5469256807843879,0.8389420533205519,0.9828660923218399,0.00819877689169803,0.04297801074144752,1.8689419771968778,1.884224905775228,0.22326021023068665,0.047492815869080086,1.0610036908666332,1.356921091934504,0.0446579163781302,0.23894683106833078,0.8489729442115499,0.7390605017261312,0.7278126167970249,1.1106729680659175,0.21277402314394683,0.22435494726960767,Convergent,-0.015696234596305536,-0.10991244248541865,-0.054817004695463245,0.2959174010678709,0.16677429040263772,0.1942889146902006,0.0752219606979776,0.01528292857835023,0.19546512895833687,-0.17576739436160657,0.034779233849749486,0.011580924125660835,0.14392403900128792,0.3828603512688926
29,1.7935781723107407,1.8709575778683611,0.22972184262568066,0.23086876632696826,0.6075664769887718,0.7557481524022436,0.09829793158425937,0.04600991161253522,0.3206228069251179,0.4792704818473741,0.7567190108572913,1.0432457102542467,0.07005000463121985,0.06373634428481147,1.8635617068085846,2.011272695768449,0.25947261065679866,0.05579149489131253,0.698346428174411,1.6051835816582833,0.06403820810135974,0.07059613758979107,0.8569311586530026,0.6838310775882596,0.6549449110207055,0.9379158804843252,0.0502500842396036,0.14062486797377988,Convergent,0.15864767492225618,-0.17310008106474306,0.14818167541347183,0.9068371534838724,-0.05228801997172415,0.006557929488431327,0.07737940555762046,0.14771098895986445,0.0011469237012876055,-0.20368111576548614,-0.006313660346408387,0.09037478373417628,0.2865266993969554,0.28297096946361966
30,2.0555664283769004,1.894136359333586,0.1998881461291137,0.216706214045322,0.5481659200075878,0.7006705060921173,0.013320989529904775,0.062436921588818244,0.3356697554682401,0.34701894887186,1.0788130878323843,1.006365713103891,0.020376180549376923,0.12096956554371553,2.120252883909612,1.9561792214966691,0.17042753298028576,0.1697794644375643,1.3812281344027952,1.4231930766804186,0.0185610540013622,0.07454883878315278,0.9091935474757388,0.7458268702525384,1.0179906698579153,0.8525376269275374,0.48531329371336285,0.07924913305296881,Convergent,0.011349193403619895,-0.16336667722320042,0.15250458608452955,0.041964942277623374,0.04911593205891347,0.05598778478179059,-0.16143006904331436,-0.16407366241294286,0.016818067916208296,-0.0006480685427214528,0.1005933849943386,-0.406064160660394,-0.07244737472849327,-0.16545304293037788
31,1.9481685553523558,1.9866464831046828,0.2793471844372901,0.2726873763228075,0.5855163655470356,0.6516040407083136,0.08462646286950927,0.1010488237266621,0.22122909460113055,0.4426713571006319,0.6615432336924854,1.0932227277941047,0.07410461920614392,0.10594769511039258,1.9911819666909922,2.0143603900202964,0.32593651673876517,0.2462565138100174,1.4432899770592935,1.6000620310962934,0.08452180199964274,0.11971522201507932,1.0411782152073659,0.8841638460578713,0.9021484656683287,1.3116411160752324,0.23654997360471913,0.2771917269571927,Convergent,0.22144226249950133,-0.15701436914949451,0.066087675161278,0.1567720540369999,0.016422360857152832,0.035193420015436586,0.03847792775232706,0.0231784233293042,-0.006659808114482635,-0.07968000292874777,0.03184307590424866,0.04064175335247355,0.4316794941016193,0.40949265040690364
32,1.885601828167076,1.6870571760149655,0.11340961943835905,0.12564675840595857,0.6166810476771986,0.5980165094652232,0.21523743791678765,0.016401509577117848,0.41009736698461197,0.5771882608023261,0.9018086161863582,0.6675481978080171,0.039387078860391875,0.19940931103495507,1.9450511790175733,1.9047887057220874,0.1465877881930715,0.14036829261074832,1.4455588339986256,1.612113039836353,0.08235323579210861,0.06496141485709735,1.2060402860919233,0.8085478276200995,1.281766062376263,1.181872017015825,0.25397265990661133,0.2487652200620168,Convergent,0.16709089381771414,-0.3974924584718238,-0.018664538211975334,0.1665542058377274,-0.1988359283396698,-0.017391820935011265,-0.1985446521521106,-0.040262473295485934,0.012237138967599523,-0.006219495582323181,0.16002223217456318,-0.005207439844594541,-0.2342604183783411,-0.099894045360438
33,1.895981342493151,1.9219230198090762,0.162897847036439,0.10495024385875876,0.5650466804405694,0.7262513527454132,0.09962519265609045,0.05516403495178827,0.15698348567906326,0.36924368780616434,0.777593289270689,0.6819089831846303,0.01910351439013016,0.043407232799446985,1.8725743673468724,1.8440481846640355,0.13116469677821957,0.18082125792109255,1.2212507450092116,1.271291912938631,0.055379316788660635,0.08964705523187685,0.6668033218599316,0.6081340796244061,0.9276402987159903,0.9408226604551929,0.14726324028539958,0.11497524014791083,Convergent,0.2122602021271011,-0.0586692422355255,0.1612046723048438,0.05004116792941948,-0.04446115770430218,0.03426773844321622,0.025941677315925116,-0.02852618268283691,-0.057947603177680246,0.04965656114287298,0.024303718409316825,-0.032288000137488754,-0.09568430608605871,0.01318236173920262
34,1.8955911246906048,1.748297821206613,0.18466162025857788,0.10616306688241055,0.6197636962491856,0.6618017116607944,0.1785163340686833,0.03241559599017789,0.25419404336937734,0.4709707101390747,0.6224198782626063,0.9059649127674736,0.04767861126406084,0.13831907150907674,2.161579481838234,1.9799885379681261,0.5871008777460212,0.08187630587382297,1.4331298484859578,0.9681940576882334,0.049078244943888925,0.021679335133858387,0.3765173006016962,2.17400307399226,1.3658678863217717,1.2957076463980035,0.0437474733048614,1.3680768356254365,Divergent,0.21677666676969737,1.7974857733905636,0.04203801541160879,-0.4649357907977244,-0.14610073807850543,-0.027398909810030538,-0.14729330348399183,-0.18159094387010777,-0.07849855337616733,-0.5052245718721982,0.0906404602450159,1.324329362320575,0.28354503450486734,-0.07016023992376819
