family,n,mean_cos,sd_cos,t,p
Divergent,38,0.17712747844197602,0.35721103544971733,3.056700381732752,0.004140221597890077
Convergent,41,0.08080013600232651,0.4293207677422266,1.2050973260511113,0.23524708066577182
Rational,9,0.1332009639630632,0.4141142539345071,0.9649580715769988,0.36282528215938614
BoundedRational,9,-0.04931211080259974,0.4034926727077255,-0.36663945200055365,0.7233956145495993
