family,user_construct,label,orig_metric,n,rho,p
Divergent,exp,Expansion,n_ideas,36,0.2555949775785761,0.1324358082951234
Divergent,exp,Expansion,orig_same,36,-0.1976833976833977,0.2478081447877206
Divergent,exp,Expansion,orig_all,36,-0.16344916344916346,0.3408378714688599
Divergent,exp,Expansion,orig_cross,36,-0.0640926640926641,0.7103645360932608
Divergent,con,Contraction,n_ideas,36,0.15468171661386387,0.3677081518350442
Divergent,con,Contraction,orig_same,36,-0.15830115830115832,0.3564663227787403
Divergent,con,Contraction,orig_all,36,-0.13256113256113256,0.440880318722618
Divergent,con,Contraction,orig_cross,36,-0.10167310167310167,0.5551627074710395
Divergent,cri,Critique,n_ideas,36,0.2272821192898924,0.18250237379589704
Divergent,cri,Critique,orig_same,36,-0.12329472329472331,0.47374371587509395
Divergent,cri,Critique,orig_all,36,-0.12844272844272847,0.4553297144672852
Divergent,cri,Critique,orig_cross,36,-0.2810810810810811,0.09678615985752602
Divergent,cer,Certainty,n_ideas,36,0.27403729811524163,0.10580752453083446
Divergent,cer,Certainty,orig_same,36,-0.22702702702702707,0.18300709846866955
Divergent,cer,Certainty,orig_all,36,-0.21621621621621626,0.20531319608229867
Divergent,cer,Certainty,orig_cross,36,-0.14491634491634495,0.3990738075095386
Divergent,com,Commitment,n_ideas,36,-0.18195557092865097,0.28818935127715495
Divergent,com,Commitment,orig_same,36,0.38043758043758047,0.022085536517262066
Divergent,com,Commitment,orig_all,36,0.37940797940797943,0.022478152065749275
Divergent,com,Commitment,orig_cross,36,0.21518661518661522,0.20753184999195634
Divergent,ref,Reframing,n_ideas,36,0.3345592795947216,0.046108290035580965
Divergent,ref,Reframing,orig_same,36,-0.24066924066924067,0.15738112092122425
Divergent,ref,Reframing,orig_all,36,-0.21235521235521235,0.21371861673133385
Divergent,ref,Reframing,orig_cross,36,-0.15546975546975547,0.3652427593784923
Divergent,prop,Propose-new-idea,n_ideas,36,0.1924754861643546,0.260736700442311
Divergent,prop,Propose-new-idea,orig_same,36,-0.08674388674388675,0.6149324779525246
Divergent,prop,Propose-new-idea,orig_all,36,-0.1052767052767053,0.541153385882663
Divergent,prop,Propose-new-idea,orig_cross,36,0.023423423423423427,0.8921382490082714
Convergent,exp,Expansion,n_ideas,36,0.05720685297532988,0.7403430444375511
Convergent,exp,Expansion,orig_same,36,-0.06924066924066924,0.688225420687642
Convergent,exp,Expansion,orig_all,36,-0.05302445302445303,0.7587407005013114
Convergent,exp,Expansion,orig_cross,36,-0.11145431145431146,0.5175371722971552
Convergent,con,Contraction,n_ideas,36,0.026583594548900445,0.877688974618954
Convergent,con,Contraction,orig_same,36,-0.034749034749034756,0.8405447851079859
Convergent,con,Contraction,orig_all,36,-0.029858429858429857,0.8627564341744604
Convergent,con,Contraction,orig_cross,36,-0.04993564993564994,0.7724126949061765
Convergent,cri,Critique,n_ideas,36,0.149858498682527,0.38301226748928124
Convergent,cri,Critique,orig_same,36,0.050450450450450456,0.7701292149907082
Convergent,cri,Critique,orig_all,36,0.0435006435006435,0.8011092946125664
Convergent,cri,Critique,orig_cross,36,0.08288288288288288,0.6308185009619165
Convergent,cer,Certainty,n_ideas,36,0.157286267747661,0.3595974474593065
Convergent,cer,Certainty,orig_same,36,-0.43037323037323044,0.008791990286518345
Convergent,cer,Certainty,orig_all,36,-0.4187902187902188,0.011018243825537816
Convergent,cer,Certainty,orig_cross,36,-0.4146718146718147,0.011917284202692328
Convergent,com,Commitment,n_ideas,36,0.20654410470591766,0.2268113550066715
Convergent,com,Commitment,orig_same,36,-0.09575289575289575,0.5785385314867585
Convergent,com,Commitment,orig_all,36,-0.1425997425997426,0.4067337871678245
Convergent,com,Commitment,orig_cross,36,-0.11377091377091379,0.508814453375899
Convergent,ref,Reframing,n_ideas,36,0.01941644895973611,0.9105080792922214
Convergent,ref,Reframing,orig_same,36,0.02265122265122265,0.8956743750994363
Convergent,ref,Reframing,orig_all,36,0.024195624195624193,0.8886041701646353
Convergent,ref,Reframing,orig_cross,36,-0.036036036036036036,0.834718991919436
Convergent,prop,Propose-new-idea,n_ideas,36,0.3496263930132348,0.036599741207514094
Convergent,prop,Propose-new-idea,orig_same,36,-0.14208494208494207,0.4084473082848146
Convergent,prop,Propose-new-idea,orig_all,36,-0.10888030888030889,0.527314987509208
Convergent,prop,Propose-new-idea,orig_cross,36,0.0380952380952381,0.8254158399844027
