User_id,family,cos_au
24,Convergent,0.07370702236764129
25,Convergent,0.7135229545278418
27,Convergent,0.2567166066702845
28,Convergent,0.2300925714760663
29,Convergent,0.5327270114826935
30,Convergent,0.03774025212391622
31,Convergent,0.6637988248849483
32,Convergent,-0.18463107782896543
33,Convergent,-0.3644854657637922
34,Divergent,0.5339733763667127
35,Divergent,0.4215415694947335
36,Divergent,0.640544050077955
37,Divergent,0.8119826857595513
38,Divergent,0.48905677303744555
39,BoundedRational,-0.4526605961729779
40,BoundedRational,-0.6539976274762538
41,BoundedRational,0.5343577720150389
42,BoundedRational,-0.0528605839857618
43,BoundedRational,-0.1473154206711277
44,BoundedRational,0.10839998501846253
45,BoundedRational,-0.4059306723161584
46,BoundedRational,0.38053315970479634
47,BoundedRational,0.24566498666058417
48,Rational,0.5829010670054346
49,Rational,0.9170389914714291
50,Rational,-0.08600611503847472
51,Rational,-0.28127803809820556
52,Rational,0.03075274943021684
53,Rational,-0.162419148757094
54,Rational,-0.16773426336038927
55,Rational,0.44931347812261063
56,Rational,-0.08376004510795908
61,Divergent,0.08200758516343204
64,Divergent,-0.3628437586849
67,Divergent,0.3579883211374
68,Divergent,-0.2562460113435617
69,Divergent,-0.028720751858198428
70,Divergent,0.712791473783361
71,Divergent,0.2707018116796196
72,Divergent,-0.26101849129270377
73,Divergent,-0.16805979753823955
74,Convergent,0.07615270768788879
76,Convergent,0.13524075845561465
77,Convergent,0.41235043943473915
78,Convergent,-0.13072570721510277
79,Convergent,0.23974517259696868
80,Convergent,0.7391451944834939
81,Convergent,0.6725310656407884
82,Divergent,0.293846788670747
83,Divergent,0.5075057847505439
84,Divergent,-0.1640076251619737
85,Divergent,-0.48510479823353375
86,Divergent,-0.046209754826506244
87,Divergent,0.480452373183703
88,Divergent,0.7643834636977584
89,Divergent,-0.2204852333494977
90,Divergent,0.032023463313290146
91,Divergent,0.06826802601993903
92,Divergent,0.14740822391166633
93,Convergent,0.1882089606491977
94,Convergent,0.16056963239221736
95,Convergent,0.04899445265549459
96,Convergent,0.2093592500578371
97,Convergent,-0.25498362811826647
98,Convergent,0.9479852662295803
100,Convergent,0.37315072576444
102,Convergent,0.6588704056776867
104,Convergent,-0.047649865734358095
105,Convergent,-0.4870557850266922
106,Convergent,-0.2782352795080773
107,Convergent,-0.2220350866177036
108,Convergent,-0.7701066805772038
109,Convergent,-0.4643533719703991
110,Convergent,-0.36705759595269843
111,Convergent,-0.21284139440023256
112,Convergent,0.34271517257466455
113,Convergent,-0.5334986197895623
114,Convergent,0.4932208897797495
116,Convergent,-0.6447114686131634
117,Convergent,0.24051733438456716
118,Divergent,-0.3910252322168341
119,Divergent,0.09441992303528346
120,Divergent,0.24525987748106035
121,Divergent,0.15739790643878374
122,Divergent,0.03363316255356341
124,Divergent,-0.06260442875625687
125,Divergent,0.1669305968414587
126,Divergent,-0.19845103811047168
127,Divergent,0.6833698704490093
128,Divergent,-0.15952120186108734
129,Divergent,0.3775958112565352
130,Divergent,0.6155074421827154
131,Divergent,0.5465519437425844
149,Convergent,0.5812982823690201
150,Convergent,-0.6131512349004743
151,Convergent,-0.11952216321742982
152,Convergent,-0.020510953037831958
