family,construct,label,n,dz,t,p,mean_persona,mean_gpt,mean_diff
Divergent,exp,Expansion,38,0.6307363310680998,3.8881198714174703,0.0004047120270654169,0.4284605704193602,0.2843105380104368,0.14415003240892335
Divergent,con,Contraction,38,0.39243023714509273,2.419102449045646,0.020593091198282423,0.5762448529662485,0.49912027852232693,0.07712457444392143
Divergent,cri,Critique,38,0.011072489073354185,0.06825540669150554,0.945949856750187,0.09091132464906794,0.0896211306610819,0.0012901939879860415
Divergent,cer,Certainty,38,0.46529105631725415,2.8682467030183085,0.006779148271264337,1.7908084267844488,1.7170790837986463,0.07372934298580242
Divergent,com,Commitment,38,0.2423872868221021,1.4941755850278238,0.1436098504359283,0.19633400630306683,0.17437856446233596,0.021955441840730894
Divergent,ref,Reframing,38,0.8204632857007433,5.057675367295599,1.1801721939141065e-05,0.16624739528744076,0.06120228504037875,0.10504511024706202
Divergent,prop,Propose-new-idea,38,0.5386897162328026,3.3207064300008726,0.0020273001023881484,0.770965664860608,0.6374314212113603,0.1335342436492477
Convergent,exp,Expansion,41,0.3538890082432239,2.26599528604326,0.02893444167724852,0.31081672325702747,0.26504163349338183,0.04577508976364564
Convergent,con,Contraction,41,0.19199230793728336,1.22935060035389,0.22612304929573113,0.5290136449766726,0.5018613994748882,0.027152245501784408
Convergent,cri,Critique,41,-0.09851018583230291,-0.6307729585368329,0.531776703714448,0.08797449122413571,0.09765017606982437,-0.009675684845688676
Convergent,cer,Certainty,41,0.3455301508975539,2.2124724839759575,0.032705943544074724,1.8259710165256435,1.7740389094513942,0.05193210707424935
Convergent,com,Commitment,41,0.4056260938624986,2.5972742729461764,0.013086279350751542,0.22296966956917963,0.174945890697585,0.048023778871594605
Convergent,ref,Reframing,41,0.20851348799175543,1.3351377687916726,0.18938038076284439,0.05337020006918626,0.040332418179612875,0.013037781889573385
Convergent,prop,Propose-new-idea,41,0.1528074736177366,0.9784452379826101,0.33373507321867524,0.6994714914429938,0.6677896933496826,0.03168179809331115
Rational,exp,Expansion,9,-0.3349768008345596,-1.004930402503679,0.34435464396218235,0.2870288426350396,0.3355909630523509,-0.04856212041731131
Rational,con,Contraction,9,1.3297546428003766,3.98926392840113,0.004009435863305057,0.620242850269448,0.40667353975005155,0.21356931051939645
Rational,cri,Critique,9,0.7318001290235485,2.1954003870706456,0.05941855439660819,0.21093099250910896,0.11179946260197896,0.09913152990713
Rational,cer,Certainty,9,1.334909426176327,4.004728278528981,0.0039237998410404295,1.8484952856720187,1.6645100981657466,0.183985187506272
Rational,com,Commitment,9,-0.16533198064605834,-0.49599594193817503,0.6332352985209171,0.1633508150166516,0.18225311593785717,-0.018902300921205557
Rational,ref,Reframing,9,0.27273468183982696,0.8182040455194809,0.43693114940225125,0.06619136691094302,0.04465356065421153,0.02153780625673147
Rational,prop,Propose-new-idea,9,0.23548752526804986,0.7064625758041496,0.49995525468332935,0.6534661377142827,0.5686440841023953,0.08482205361188745
BoundedRational,exp,Expansion,9,0.9641511933547539,2.8924535800642617,0.02012326674849544,0.4490827219996423,0.24784316809848875,0.20123955390115353
BoundedRational,con,Contraction,9,0.10936193912885203,0.32808581738655607,0.751268840372139,0.49283551896439803,0.48231642519199486,0.010519093772403188
BoundedRational,cri,Critique,9,-0.7830315005543941,-2.3490945016631826,0.04674728810341664,0.05877441031754222,0.11455006824765013,-0.055775657930107886
BoundedRational,cer,Certainty,9,0.5271294116112961,1.5813882348338886,0.15244555851240119,1.8036743942649034,1.7039866633455922,0.09968773091931118
BoundedRational,com,Commitment,9,0.3259390334028374,0.9778171002085124,0.35680367597228585,0.18965496085743475,0.16403412587360927,0.025620834983825464
BoundedRational,ref,Reframing,9,0.38522604923946246,1.1556781477183873,0.281159285788711,0.07288116160946644,0.04953442732226981,0.02334673428719663
BoundedRational,prop,Propose-new-idea,9,1.8650421247830635,5.595126374349191,0.0005131550579202996,0.9355838830770833,0.5365735836759877,0.3990102994010954
