criterion,treatment_mean,control_mean,hedges_g,p_value,exploratory_direction
user_initiative,2.38,2.2,0.26,0.531,OK
user_question_richness,1.92,2.0,-0.09,0.776,
user_proposal_specificity,2.0,1.6,0.34,0.477,OK
user_acceptance_yes_and,2.08,1.7,0.37,0.442,
user_reframing,1.46,1.3,0.17,0.696,OK
user_engagement_depth,2.19,2.2,-0.01,0.981,x
