metric,n,mean_P,mean_G,diff,t,p,dz,p_wilcoxon
a_com,97,0.16181522661850478,0.4965437082011604,-0.33472848158265567,-22.16297596644465,1.566582012634509e-39,-2.2503092655478145,2.4112796113703143e-17
a_cer,97,1.98067779140318,2.2552983125567696,-0.2746205211535891,-14.253273794303745,1.9841718178601486e-25,-1.4472006887645816,1.0690095972296535e-15
a_prop,97,1.0904105140499654,1.6047767518386873,-0.5143662377887218,-13.328148735728357,1.4640746969388231e-23,-1.3532684707152283,9.507305169725911e-16
a_exp,97,1.2126587954234989,0.4460470109388177,0.766611784484681,12.710944368095388,2.719853624437865e-22,1.2906008619372427,3.2790530851658256e-16
a_ref,97,0.5157853635177015,0.07782886376203699,0.43795649975566464,8.951801718120999,2.654501367180529e-14,0.9089177545530699,1.9294710204125806e-14
u_qtype_clarify,97,0.22356789831016635,0.42298042231335137,-0.199412524003185,-8.041403671540758,2.321959034479979e-12,-0.8164808380190314,2.6001383898195874e-10
u_qtype_none,97,0.7443798755654426,0.551829489996561,0.1925503855688816,7.613531715091394,1.8509166015703542e-11,0.7730370230041234,4.4958954889103804e-10
u_ref,97,0.10059002041693889,0.049762967718421154,0.05082705269851771,4.839989440010554,4.956109747851904e-06,0.4914264717201928,9.810724807727225e-07
u_cer,97,1.8122171032452858,1.7350625909841004,0.07715451226118519,4.801429277037113,5.790121503823742e-06,0.4875112803599918,1.667693448310168e-05
u_exp,97,0.3675256846514016,0.27754035668023513,0.08998532797116636,4.580251511269277,1.3943384541396422e-05,0.4650540807314724,0.00013177163562703924
u_prop,97,0.7451183154741045,0.634522994261589,0.11059532121251561,4.209701866138436,5.7611158776631336e-05,0.4274304646139501,0.0002847207167827147
u_con,97,0.5526244245346972,0.490142243781415,0.06248218075328219,3.604206254192882,0.0004986221700594124,0.3659516998545348,0.0005407733986645297
u_com,97,0.20391237808989363,0.17438919736570052,0.029523180724193115,2.7727527429415564,0.006677833374454312,0.28153038644094325,0.007152057293420975
drift_trajectory,97,-0.009448232033203557,0.05481494625204617,-0.06426317828524973,-2.765037509652416,0.006825675520139714,-0.28074702318761924,0.009329873586890514
anchor_sim_early,97,0.29835306257777605,0.33628073604489417,-0.0379276734671181,-2.45231953768418,0.016000028217938937,-0.24899532382698816,0.01781518371605354
a_cri,97,0.08669725482265171,0.06147645121887898,0.025220803603772754,2.002027053092938,0.048103373443739376,0.20327504908516753,0.07757489117213548
a_con,97,1.2693546905432287,1.3296878990286156,-0.06033320848538678,-1.6706748775130444,0.09804313990255377,-0.16963133300679487,0.06009754417259321
a_tone_none,97,0.9746438555716906,0.9867923599882363,-0.01214850441654566,-1.6261755316121327,0.10719066344232317,-0.16511310898565032,0.048525728463434586
sbert_breadth,97,0.7602952866210151,0.7743337719710832,-0.014038485350068082,-1.485992888574255,0.14055775218553876,-0.1508797180829699,0.08909978207580473
anchor_sim_late,97,0.30780129386208105,0.28146578970643665,0.026335504155644437,1.4293686873800597,0.15614442384211072,0.14513040152934184,0.2218587532987153
a_tone_neutral,97,0.004445039496585888,0.0011454753722794958,0.003299564124306392,1.2569124596585397,0.21183489823310458,0.1276201245822963,0.2228009911811345
a_tone_constructive,97,0.020911104931723486,0.012062164639484228,0.008848940292239262,1.2418981255074748,0.2172996649540049,0.12609564992206446,0.17385932013275607
sbert_redundancy,97,0.6580655713056781,0.6728439899449495,-0.01477841863927153,-0.7422230862723623,0.4597643516725846,-0.07536133643202825,0.19088752781040907
u_qtype_criteria_setting,97,0.006418123686164923,0.0038843888070692195,0.0025337348790957035,0.7032793443566431,0.48358381920254434,0.07140719853102036,0.3428288397234035
u_qtype_open_what_if,97,0.02563410243822615,0.021305698883018472,0.004328403555207678,0.5663952900304186,0.5724468575464562,0.057508728568212944,0.7948510026689259
sbert_distinctiveness,97,0.3421783754506062,0.3448455475040318,-0.0026671720534255823,-0.36525715532756503,0.7157229630663006,-0.037086245194945786,0.981340361105556
fixation_index,97,0.34476522763365325,0.34086109260001135,0.003904135033641894,0.3423687820232034,0.7328218231443977,0.03476228298887275,0.9497911132429356
u_cri,97,0.09782405260096913,0.09738562847041828,0.0004384241305508542,0.03868615990454896,0.9692209448690695,0.003927984410282976,0.6233140306919248
