family,a_exp,a_con,a_cri,a_cer,a_com,a_ref,a_prop,u_exp,u_con,u_cri,u_cer,u_com,u_ref,u_prop
BoundedRational,1.1705277326730703,1.3132824987847163,0.08061974263429547,1.9247613181584784,0.18464350524272596,0.2412349575882676,1.1827846760322496,0.4490827219996423,0.49283551896439803,0.05877441031754222,1.8036743942649034,0.18965496085743475,0.07288116160946644,0.9355838830770831
Convergent,0.7659479887647601,1.4197858051196808,0.0670323421613327,2.0187529159283755,0.1926113601055308,0.16383831705860702,1.0655230111548342,0.31081672325702747,0.5290136449766726,0.08797449122413571,1.8259710165256435,0.22296966956917963,0.05337020006918626,0.6994714914429938
Divergent,1.8062079262431139,0.9936286681135623,0.061493501046294745,1.931404806316114,0.13377916427221767,1.0471035249714544,1.1479137492116556,0.4284605704193602,0.5762448529662485,0.09091132464906794,1.7908084267844488,0.19633400630306685,0.16624739528744076,0.7709656648606081
Rational,0.7837094250475852,1.7043061217120514,0.2887752184127463,2.0711824121784934,0.11706793645993264,0.15030674384494405,0.8686213167961427,0.2870288426350396,0.620242850269448,0.21093099250910896,1.8484952856720187,0.1633508150166516,0.066191366910943,0.6534661377142827
GPT_baseline,0.44604701093881766,1.3296878990286156,0.061476451218878965,2.2552983125567696,0.49654370820116034,0.077828863762037,1.6047767518386873,0.2775403566802352,0.49014224378141513,0.09738562847041829,1.7350625909841004,0.17438919736570052,0.049762967718421154,0.634522994261589
