name,n,mean_1,mean_2,mean_diff,sd_diff,t,p_t,W,p_w,dz
Creativity R1 vs R2,97,3.484536082474227,3.6597938144329896,-0.17525773195876287,1.581206746960151,-1.0916273182147336,0.27772905961050737,1156.5,0.2743209453848382,-0.11083796113044264
Ownership R1 vs R2,97,3.515463917525773,3.4742268041237114,0.041237113402061855,1.7194810613306895,0.23619827818233777,0.8137820284244124,1467.0,0.8580339112387314,0.023982301596360042
Creativity GPT vs Persona,97,3.577319587628866,3.5670103092783507,0.010309278350515464,1.590956508419966,0.06381985678175417,0.9492463670158122,1316.0,0.8458601668276003,0.006479924684273089
Ownership GPT vs Persona,97,3.463917525773196,3.5257731958762886,-0.061855670103092786,1.7188564087648188,-0.3544261731077071,0.723796871365632,1426.5,0.6973767006991576,-0.035986525568789465
