measure,contrast,family_a,family_b,mean_a,mean_b,n_a,n_b,g,welch_t,p,sig_05
n_user_msg,Divergent vs Convergent,Divergent,Convergent,-1.4473684210526316,0.14634146341463414,38,41,-0.5828428115141898,-2.6282252817640988,0.010364100841101336,True
n_user_msg,Divergent vs Rational,Divergent,Rational,-1.4473684210526316,1.4444444444444444,38,9,-1.0839860889522284,-2.585485813344324,0.026103347062596746,True
n_user_msg,Divergent vs BoundedRational,Divergent,BoundedRational,-1.4473684210526316,-1.5555555555555556,38,9,0.044807670525038104,0.1572695753030851,0.8768108145778072,False
n_user_msg,Convergent vs Rational,Convergent,Rational,0.14634146341463414,1.4444444444444444,41,9,-0.436467160194161,-1.143118493645714,0.27685074461926057,False
n_user_msg,Convergent vs BoundedRational,Convergent,BoundedRational,0.14634146341463414,-1.5555555555555556,41,9,0.6156782036809675,2.379019149423277,0.02730435911977366,True
n_user_msg,Rational vs BoundedRational,Rational,BoundedRational,1.4444444444444444,-1.5555555555555556,9,9,1.1403258946932673,2.5399463446357124,0.02565751473591014,True
user_words,Divergent vs Convergent,Divergent,Convergent,28.81578947368421,26.70731707317073,38,41,0.0224074210153277,0.0980300183902393,0.9222896178311154,False
user_words,Divergent vs Rational,Divergent,Rational,28.81578947368421,97.0,38,9,-0.5897047586728483,-2.225574391404808,0.037218835178220125,True
user_words,Divergent vs BoundedRational,Divergent,BoundedRational,28.81578947368421,29.0,38,9,-0.0016192385100018763,-0.0070604284687080295,0.9944117972679111,False
user_words,Convergent vs Rational,Convergent,Rational,26.70731707317073,97.0,41,9,-1.1744662700059987,-2.7992787411635063,0.018245741829120983,True
user_words,Convergent vs BoundedRational,Convergent,BoundedRational,26.70731707317073,29.0,41,9,-0.04063843588795929,-0.11876263870452507,0.9073415318454762,False
user_words,Rational vs BoundedRational,Rational,BoundedRational,97.0,29.0,9,9,1.047960188803018,2.334212231135868,0.03427107451292427,True
user_mean_len,Divergent vs Convergent,Divergent,Convergent,6.6003224351328065,2.808274516811102,38,41,0.33177709898747804,1.453439048453494,0.1519935036289804,False
user_mean_len,Divergent vs Rational,Divergent,Rational,6.6003224351328065,10.907936507936508,38,9,-0.2934512114912436,-0.8252956137280403,0.4247375872324879,False
user_mean_len,Divergent vs BoundedRational,Divergent,BoundedRational,6.6003224351328065,7.278377486710822,38,9,-0.048940707824628275,-0.18786041809803378,0.8527294512418802,False
user_mean_len,Convergent vs Rational,Convergent,Rational,2.808274516811102,10.907936507936508,41,9,-0.9190746594679202,-1.691233822398153,0.12526356755994156,False
user_mean_len,Convergent vs BoundedRational,Convergent,BoundedRational,2.808274516811102,7.278377486710822,41,9,-0.5991805578555467,-1.5136863283136275,0.1587005110808647,False
user_mean_len,Rational vs BoundedRational,Rational,BoundedRational,10.907936507936508,7.278377486710822,9,9,0.30177783144840836,0.6721758257411627,0.51330696184683,False
user_q_rate,Divergent vs Convergent,Divergent,Convergent,-0.19834780157922574,-0.17187521150935783,38,41,-0.10674105803569152,-0.4736270040653981,0.6372707944064695,False
user_q_rate,Divergent vs Rational,Divergent,Rational,-0.19834780157922574,-0.29625220458553797,38,9,0.3432544525125424,0.9254804392506178,0.3731656710230235,False
user_q_rate,Divergent vs BoundedRational,Divergent,BoundedRational,-0.19834780157922574,-0.18477201810535146,38,9,-0.046305069505826704,-0.1148510903838589,0.9106484541201957,False
user_q_rate,Convergent vs Rational,Convergent,Rational,-0.17187521150935783,-0.29625220458553797,41,9,0.5450873447565466,1.2304915602494424,0.2467694655447561,False
user_q_rate,Convergent vs BoundedRational,Convergent,BoundedRational,-0.17187521150935783,-0.18477201810535146,41,9,0.05431934526430196,0.1131212179871666,0.9122909510479453,False
user_q_rate,Rational vs BoundedRational,Rational,BoundedRational,-0.29625220458553797,-0.18477201810535146,9,9,-0.3448433634728001,-0.7680994043902022,0.4538084022938455,False
user_word_share,Divergent vs Convergent,Divergent,Convergent,-0.012440576016407712,0.006458269175077893,38,41,-0.21136324135258902,-0.9378808629758183,0.3515966632030936,False
user_word_share,Divergent vs Rational,Divergent,Rational,-0.012440576016407712,0.07041190910495439,38,9,-0.8327052938130638,-2.5565276206638456,0.022822615570574037,True
user_word_share,Divergent vs BoundedRational,Divergent,BoundedRational,-0.012440576016407712,0.04483158631204934,38,9,-0.5913535870594946,-2.1110004147223864,0.048736811841514086,True
user_word_share,Convergent vs Rational,Convergent,Rational,0.006458269175077893,0.07041190910495439,41,9,-0.815703891797043,-2.1039116688373993,0.0591117799670117,False
user_word_share,Convergent vs BoundedRational,Convergent,BoundedRational,0.006458269175077893,0.04483158631204934,41,9,-0.5100366954416002,-1.553982037925229,0.14376417378701017,False
user_word_share,Rational vs BoundedRational,Rational,BoundedRational,0.07041190910495439,0.04483158631204934,9,9,0.32430880745880325,0.7223610144008229,0.4811439111897351,False
u_propose,Divergent vs Convergent,Divergent,Convergent,0.03170134389174637,0.0361723642211447,38,41,-0.019799800383349882,-0.08766016343321374,0.9304120388394812,False
u_propose,Divergent vs Rational,Divergent,Rational,0.03170134389174637,8.818342151672987e-05,38,9,0.12267910445109817,0.37374658496570695,0.7142537378836703,False
u_propose,Divergent vs BoundedRational,Divergent,BoundedRational,0.03170134389174637,0.04069079069079067,38,9,-0.03683322113067892,-0.16353060722974164,0.8711046103672039,False
u_propose,Convergent vs Rational,Convergent,Rational,0.0361723642211447,8.818342151672987e-05,41,9,0.18681045747006128,0.4583758942459507,0.6559501804929713,False
u_propose,Convergent vs BoundedRational,Convergent,BoundedRational,0.0361723642211447,0.04069079069079067,41,9,-0.025699431301493884,-0.09944658161038993,0.9217587574311955,False
u_propose,Rational vs BoundedRational,Rational,BoundedRational,8.818342151672987e-05,0.04069079069079067,9,9,-0.22408379322875666,-0.49912118470008277,0.6270959417848285,False
u_question,Divergent vs Convergent,Divergent,Convergent,-0.19834780157922574,-0.17187521150935783,38,41,-0.10674105803569152,-0.4736270040653981,0.6372707944064695,False
u_question,Divergent vs Rational,Divergent,Rational,-0.19834780157922574,-0.29625220458553797,38,9,0.3432544525125424,0.9254804392506178,0.3731656710230235,False
u_question,Divergent vs BoundedRational,Divergent,BoundedRational,-0.19834780157922574,-0.18477201810535146,38,9,-0.046305069505826704,-0.1148510903838589,0.9106484541201957,False
u_question,Convergent vs Rational,Convergent,Rational,-0.17187521150935783,-0.29625220458553797,41,9,0.5450873447565466,1.2304915602494424,0.2467694655447561,False
u_question,Convergent vs BoundedRational,Convergent,BoundedRational,-0.17187521150935783,-0.18477201810535146,41,9,0.05431934526430196,0.1131212179871666,0.9122909510479453,False
u_question,Rational vs BoundedRational,Rational,BoundedRational,-0.29625220458553797,-0.18477201810535146,9,9,-0.3448433634728001,-0.7680994043902022,0.4538084022938455,False
u_reframe,Divergent vs Convergent,Divergent,Convergent,0.0046365914786967374,-0.003048780487804878,38,41,0.20600662247981122,0.9141119115851261,0.3638604706666172,False
u_reframe,Divergent vs Rational,Divergent,Rational,0.0046365914786967374,-0.009259259259259255,38,9,0.34319936693582287,1.2091638103791484,0.24236740107168625,False
u_reframe,Divergent vs BoundedRational,Divergent,BoundedRational,0.0046365914786967374,-0.010791677458344123,38,9,0.33803120819788385,0.7712090515490081,0.4580856558892468,False
u_reframe,Convergent vs Rational,Convergent,Rational,-0.003048780487804878,-0.009259259259259255,41,9,0.19723390315856143,0.5919182051775458,0.5640734311856938,False
u_reframe,Convergent vs BoundedRational,Convergent,BoundedRational,-0.003048780487804878,-0.010791677458344123,41,9,0.20644854948295627,0.39813160680124837,0.6996825177968506,False
u_reframe,Rational vs BoundedRational,Rational,BoundedRational,-0.009259259259259255,-0.010791677458344123,9,9,0.0328131123830673,0.07308747897539496,0.9429751347306327,False
