scorer,contrast,family,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
A,Divergent vs GPT,Divergent,exploration_opening,42,29,3.8095238095238093,2.2758620689655173,1.533661740558292,3.1239637556243744,2.425426003875668,3.822501507373081,12.72771904774684,54.32704997129055,6.1983737682024055e-18,True
A,Divergent vs GPT,Divergent,reframing_quality,42,29,2.9285714285714284,1.3448275862068966,1.5837438423645318,2.488666982639097,1.8629748668314248,3.1143590984467693,9.060737633243123,33.6539743408904,1.5047005982842142e-10,True
A,Divergent vs GPT,Divergent,evaluative_discipline,42,29,1.7380952380952381,1.0,0.7380952380952381,0.8929620328347135,0.3974747967629431,1.388449268906484,3.584438635349467,51.04173949323427,0.0007544009801425349,True
A,Divergent vs GPT,Divergent,agency_preservation,42,29,3.3095238095238093,2.9655172413793105,0.3440065681444988,0.6033818988904913,0.11986871402904659,1.086895083751936,2.363759827006294,45.923231565273895,0.022377477464988582,True
A,Divergent vs GPT,Divergent,anchor_management,42,29,2.8095238095238093,1.8275862068965518,0.9819376026272575,1.7768969057376567,1.2207014289884097,2.3330923824869036,6.748417341936536,40.12399264813871,4.1461076979610426e-08,True
A,Divergent vs GPT,Divergent,coregulation_uptake,42,29,3.0476190476190474,2.5517241379310347,0.49589490968801275,0.985921602571945,0.485688881822368,1.486154323321522,3.524939744076294,31.33822549180955,0.0013269046014976458,True
A,Divergent vs GPT,Divergent,timing_fit,42,29,3.9761904761904763,3.2758620689655173,0.7003284072249589,1.753351072414919,1.1991808381759457,2.3075213066538924,6.232257151290199,30.647857784897525,6.66284668677847e-07,True
A,Divergent vs GPT,Divergent,implementation_grounding,42,29,1.9047619047619047,1.793103448275862,0.11165845648604256,0.11615497275898415,-0.35744890991889877,0.5897588554368671,0.4821172248260027,58.454060940187695,0.6315230407451571,False
A,Divergent vs GPT,Divergent,cognitive_load_clarity,42,29,3.238095238095238,3.1379310344827585,0.10016420361247969,0.19920057514976844,-0.27515070756749715,0.673551857867034,0.7903785602718619,48.54869014712756,0.43315065593967234,False
A,Divergent vs GPT,Divergent,stance_integrity,42,29,3.9761904761904763,3.586206896551724,0.3899835796387521,1.1320681410846651,0.623534133223967,1.6406021489453633,4.059236037760482,31.691708430475945,0.0003004209763044465,True
A,Divergent vs GPT,Divergent,premature_convergence_risk,42,29,0.21428571428571427,0.7241379310344828,-0.5098522167487685,-1.086499290420549,-1.5923370034865099,-0.5806615773545881,-4.355335430812993,50.74298524286304,6.462460527098489e-05,True
A,Divergent vs GPT,Divergent,runaway_divergence_risk,42,29,0.5952380952380952,0.27586206896551724,0.319376026272578,0.5880360875305343,0.10503466625908503,1.0710375088019835,2.476215271184437,61.52673327985436,0.016043752965697336,True
A,Convergent vs GPT,Convergent,exploration_opening,36,29,3.111111111111111,2.2758620689655173,0.8352490421455938,1.4176823097171938,0.8712649818663836,1.964099637568004,5.854259199218968,62.81401033210218,1.8907571188805798e-07,True
A,Convergent vs GPT,Convergent,reframing_quality,36,29,2.5,1.3448275862068966,1.1551724137931034,1.4404969172751267,0.8923191634846277,1.9886746710656258,5.686633489478798,51.99582859260118,5.990939179922278e-07,True
A,Convergent vs GPT,Convergent,evaluative_discipline,36,29,1.7777777777777777,1.0,0.7777777777777777,0.7732697228963415,0.2664661684609446,1.2800732773317385,3.1781327892325586,62.39189139809462,0.002306707856925,True
A,Convergent vs GPT,Convergent,agency_preservation,36,29,3.4166666666666665,2.9655172413793105,0.451149425287356,0.7592478196162787,0.25307113915623103,1.2654245000763265,2.980509547397452,50.07417183025671,0.00443227735488111,True
A,Convergent vs GPT,Convergent,anchor_management,36,29,2.5833333333333335,1.8275862068965518,0.7557471264367817,1.2388578312969885,0.7054408526790577,1.7722748099149193,4.84257426376433,48.604179903399114,1.3441038795149619e-05,True
A,Convergent vs GPT,Convergent,coregulation_uptake,36,29,3.138888888888889,2.5517241379310347,0.5871647509578541,0.9936000410953375,0.4755712688966025,1.5116288132940725,3.81487817391749,42.56423190228191,0.00043502137324644813,True
A,Convergent vs GPT,Convergent,timing_fit,36,29,3.7777777777777777,3.2758620689655173,0.5019157088122603,0.9835832746630184,0.46611969494976746,1.5010468543762694,3.849659992747368,49.045814840378924,0.0003427481113456623,True
A,Convergent vs GPT,Convergent,implementation_grounding,36,29,2.0833333333333335,1.793103448275862,0.2902298850574714,0.2770197586349749,-0.2143536239197812,0.768393141189731,1.1357987364111763,62.087289938475024,0.26040617159696017,False
A,Convergent vs GPT,Convergent,cognitive_load_clarity,36,29,3.5277777777777777,3.1379310344827585,0.3898467432950192,0.7123467710057915,0.2081888021457189,1.2165047398658642,2.846535682156787,55.9836396307,0.006166673795459284,True
A,Convergent vs GPT,Convergent,stance_integrity,36,29,3.9722222222222223,3.586206896551724,0.3860153256704981,1.0698573342469655,0.5473597448429112,1.59235492365102,3.9741027802571662,33.000465212290756,0.00036209474479326426,True
A,Convergent vs GPT,Convergent,premature_convergence_risk,36,29,0.5277777777777778,0.7241379310344828,-0.19636015325670497,-0.3760933023792598,-0.8694085360975121,0.11722193133899245,-1.5186518490879386,58.98598700095248,0.13419222146034557,False
A,Convergent vs GPT,Convergent,runaway_divergence_risk,36,29,0.25,0.27586206896551724,-0.025862068965517238,-0.05318423942533709,-0.5423300897096592,0.4359616108589851,-0.21148347245714735,54.41826560942522,0.833300066106352,False
A,Rational vs GPT,Rational,exploration_opening,19,29,3.1052631578947367,2.2758620689655173,0.8294010889292194,1.3195433634850666,0.683669754473323,1.9554169724968102,4.242385329233536,29.930909517527137,0.0001961120417973971,True
A,Rational vs GPT,Rational,reframing_quality,19,29,2.526315789473684,1.3448275862068966,1.1814882032667875,1.3660990074668258,0.7263032565396289,2.0058947583940228,4.857226855835419,42.534906532208275,1.6483372779296704e-05,True
A,Rational vs GPT,Rational,evaluative_discipline,19,29,2.1578947368421053,1.0,1.1578947368421053,1.3146020096950362,0.6791381004670722,1.950065918923,4.713930299140575,43.4258543646599,2.523355292170383e-05,True
A,Rational vs GPT,Rational,agency_preservation,19,29,3.473684210526316,2.9655172413793105,0.5081669691470054,0.805733067372063,0.20520206040240785,1.406264074341718,2.942853376087777,44.9880216434923,0.0051268345248777925,True
A,Rational vs GPT,Rational,anchor_management,19,29,2.6842105263157894,1.8275862068965518,0.8566243194192376,1.3379512525501418,0.7005402261351802,1.9753622789651035,4.994665715930074,45.94570390134902,8.97079551944646e-06,True
A,Rational vs GPT,Rational,coregulation_uptake,19,29,3.0,2.5517241379310347,0.4482758620689653,0.7677473857901257,0.16921108357354786,1.3662836880067035,3.2794123642118334,28.0,0.002782961219123967,True
A,Rational vs GPT,Rational,timing_fit,19,29,3.8421052631578947,3.2758620689655173,0.5662431941923773,1.0762377196157613,0.45897825297290784,1.6934971862586148,4.0604359357370425,45.97463172434119,0.0001886254599695347,True
