measure,family,n,persona_mean,gpt_mean,mean_diff,sd_diff,dz,t,p,sig_05
n_user_msg,Divergent,38,7.7105263157894735,9.157894736842104,-1.4473684210526316,2.500782238929129,-0.5787662750165786,-3.5677549301583915,0.0010169078832242637,True
n_user_msg,Convergent,41,9.170731707317072,9.024390243902438,0.14634146341463414,2.885835889389382,0.05071025138771794,0.3247040397470095,0.7470971943186581,False
n_user_msg,Rational,9,8.88888888888889,7.444444444444445,1.4444444444444444,3.1269438398822866,0.4619348854371559,1.3858046563114679,0.2032116019259831,False
n_user_msg,BoundedRational,9,8.777777777777779,10.333333333333334,-1.5555555555555556,1.6666666666666667,-0.9333333333333333,-2.8,0.023197841309146282,True
user_words,Divergent,38,182.02631578947367,153.21052631578948,28.81578947368421,121.00611002289679,0.2381349955653618,1.4679627012600716,0.15056469970090514,False
user_words,Convergent,41,176.82926829268294,150.1219512195122,26.70731707317073,56.290871330278335,0.4744520104595559,3.0379751676723257,0.004182068681527103,True
user_words,Rational,9,210.11111111111111,113.11111111111111,97.0,70.5655723423257,1.3746079962256434,4.12382398867693,0.0033266295820957013,True
user_words,BoundedRational,9,189.88888888888889,160.88888888888889,29.0,51.56064390598706,0.5624444887243274,1.6873334661729822,0.13002007829982357,False
user_mean_len,Divergent,38,23.965393451577665,17.365071016444855,6.6003224351328065,14.531212302997167,0.4542169158020933,2.799981116155805,0.008074943981715748,True
user_mean_len,Convergent,41,20.94629449141644,18.138019974605342,2.808274516811102,7.159574980904831,0.3922403947582082,2.5115639785765116,0.016158808889084966,True
user_mean_len,Rational,9,26.04651675485009,15.138580246913582,10.907936507936508,13.970543819625888,0.7807810954798328,2.3423432864394984,0.0472425591385337,True
user_mean_len,BoundedRational,9,23.096139971139973,15.81776248442915,7.278377486710822,8.199778524293652,0.8876309848061168,2.6628929544183504,0.02867652950771601,True
user_q_rate,Divergent,38,0.3435214639162007,0.5418692654954264,-0.19834780157922574,0.2790412052407972,-0.7108190398190924,-4.381782842637776,9.339891769218913e-05,True
user_q_rate,Convergent,41,0.19654309105528617,0.368418302564644,-0.17187521150935783,0.20994161731898967,-0.818680991907417,-5.242116102007949,5.457907263782417e-06,True
user_q_rate,Rational,9,0.229673721340388,0.5259259259259259,-0.29625220458553797,0.28684102614241863,-1.0328097363535669,-3.098429209060701,0.014700682673857402,True
user_q_rate,BoundedRational,9,0.39610389610389607,0.5808759142092476,-0.18477201810535146,0.32757718520845647,-0.5640564314262919,-1.692169294278876,0.12907297239677729,False
user_word_share,Divergent,38,0.3112830467693755,0.3237236227857833,-0.012440576016407712,0.10056977284282663,-0.12370094576876699,-0.7625438422774932,0.4505697407285421,False
user_word_share,Convergent,41,0.3322436960378876,0.3257854268628097,0.006458269175077893,0.07573050335226506,0.08527962827655931,0.5460560547769007,0.5880602674224417,False
user_word_share,Rational,9,0.3614781844077695,0.2910662753028151,0.07041190910495439,0.08400679587380723,0.8381692025336293,2.514507607600888,0.03611643498720165,True
user_word_share,BoundedRational,9,0.3345426812143727,0.28971109490232333,0.04483158631204934,0.06503085211915575,0.6893894951569235,2.0681684854707707,0.07243492945269889,False
u_propose,Divergent,38,0.25599174217595266,0.2242903982842063,0.03170134389174637,0.26003381246163293,0.12191239128343662,0.7515184519630497,0.4570945701736007,False
u_propose,Convergent,41,0.18924720266183678,0.15307483844069208,0.0361723642211447,0.18358098847716084,0.19703763729131937,1.2616564710265499,0.21438033711285015,False
u_propose,Rational,9,0.2145943562610229,0.21450617283950618,8.818342151672987e-05,0.21994571413185798,0.00040093266588438133,0.0012027979976531441,0.9990697586361242,False
u_propose,BoundedRational,9,0.24518999518999512,0.20449920449920445,0.04069079069079067,0.10574328223856491,0.3848073355524292,1.1544220066572877,0.28164458758412086,False
u_question,Divergent,38,0.3435214639162007,0.5418692654954264,-0.19834780157922574,0.2790412052407972,-0.7108190398190924,-4.381782842637776,9.339891769218913e-05,True
u_question,Convergent,41,0.19654309105528617,0.368418302564644,-0.17187521150935783,0.20994161731898967,-0.818680991907417,-5.242116102007949,5.457907263782417e-06,True
u_question,Rational,9,0.229673721340388,0.5259259259259259,-0.29625220458553797,0.28684102614241863,-1.0328097363535669,-3.098429209060701,0.014700682673857402,True
u_question,BoundedRational,9,0.39610389610389607,0.5808759142092476,-0.18477201810535146,0.32757718520845647,-0.5640564314262919,-1.692169294278876,0.12907297239677729,False
u_reframe,Divergent,38,0.012531328320802,0.007894736842105263,0.0046365914786967374,0.0419609843108241,0.11049768147361355,0.6811534549715491,0.5000155869745457,False
u_reframe,Convergent,41,0.0027100271002710027,0.005758807588075881,-0.003048780487804878,0.03159717569012922,-0.0964890190725907,-0.617831176669826,0.5401884960206152,False
u_reframe,Rational,9,0.0,0.009259259259259255,-0.009259259259259255,0.027777777777777766,-0.3333333333333333,-1.0,0.34659350708733416,False
