scorer,contrast,family_a,family_b,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
A,Divergent vs Convergent,Divergent,Convergent,exploration_opening,42,36,3.8095238095238093,3.111111111111111,0.6984126984126982,1.284319542882322,0.7956507403357715,1.7729883454288724,5.577374388295095,63.08125747585657,5.458502904783827e-07,True
A,Divergent vs Convergent,Divergent,Convergent,reframing_quality,42,36,2.9285714285714284,2.5,0.4285714285714284,0.7925428188518657,0.33032454047097654,1.254761097232755,3.359797507737327,49.12465893952012,0.0015153060330551824,True
A,Divergent vs Convergent,Divergent,Convergent,evaluative_discipline,42,36,1.7380952380952381,1.7777777777777777,-0.03968253968253954,-0.044093813299409694,-0.48931921299516373,0.40113158639634433,-0.19096675841243893,61.50243709326297,0.8491806477902373,False
A,Divergent vs Convergent,Divergent,Convergent,agency_preservation,42,36,3.3095238095238093,3.4166666666666665,-0.1071428571428572,-0.21965492228489358,-0.6661590350559112,0.226849190486124,-0.9717359133237311,72.42753766521282,0.3344160907182398,False
A,Divergent vs Convergent,Divergent,Convergent,anchor_management,42,36,2.8095238095238093,2.5833333333333335,0.22619047619047583,0.5003387140780917,0.04829609229258247,0.952381335863601,2.186124677207241,66.51997439122927,0.03233010130807524,True
A,Divergent vs Convergent,Divergent,Convergent,coregulation_uptake,42,36,3.0476190476190474,3.138888888888889,-0.09126984126984139,-0.27493671710664813,-0.7221941763725196,0.17232074215922333,-1.1675820354588398,50.09299693355843,0.24850299675783388,False
A,Divergent vs Convergent,Divergent,Convergent,timing_fit,42,36,3.9761904761904763,3.7777777777777777,0.1984126984126986,0.6383171528482922,0.18201520746776984,1.0946190982288144,2.674140936503491,43.01306807506836,0.010548956803124145,True
A,Divergent vs Convergent,Divergent,Convergent,implementation_grounding,42,36,1.9047619047619047,2.0833333333333335,-0.17857142857142883,-0.1763756827938945,-0.6224068942724388,0.2696555286846498,-0.7754747768825897,69.73587932980367,0.4406810249485844,False
A,Divergent vs Convergent,Divergent,Convergent,cognitive_load_clarity,42,36,3.238095238095238,3.5277777777777777,-0.28968253968253954,-0.6138580116294221,-1.0693327668785446,-0.15838325638029965,-2.695993591960959,69.20040000657742,0.008804235174881337,True
A,Divergent vs Convergent,Divergent,Convergent,stance_integrity,42,36,3.9761904761904763,3.9722222222222223,0.003968253968253954,0.024538296279739295,-0.42064998474905296,0.46972657730853157,0.10846522890932772,72.09876843693716,0.9139279582091723,False
A,Divergent vs Convergent,Divergent,Convergent,premature_convergence_risk,42,36,0.21428571428571427,0.5277777777777778,-0.3134920634920635,-0.6755544709783728,-1.1331747024098109,-0.21793423954693486,-2.958613734259567,67.76871946453258,0.004252834887271959,True
A,Divergent vs Convergent,Divergent,Convergent,runaway_divergence_risk,42,36,0.5952380952380952,0.25,0.34523809523809523,0.6860079425233669,0.22800491382973226,1.1440109712170017,3.1009652167111432,75.75541955139354,0.0027088113037658504,True
A,Divergent vs Rational,Divergent,Rational,exploration_opening,42,19,3.8095238095238093,3.1052631578947367,0.7042606516290726,1.2495735347402452,0.6640623103855262,1.8350847590949644,3.8451200694055534,24.406088114240482,0.0007609761764562102,True
A,Divergent vs Rational,Divergent,Rational,reframing_quality,42,19,2.9285714285714284,2.526315789473684,0.4022556390977443,0.7742240295602016,0.21517923579282594,1.3332688233275773,2.1759946326437407,21.254811917927928,0.04097402615750289,True
A,Divergent vs Rational,Divergent,Rational,evaluative_discipline,42,19,1.7380952380952381,2.1578947368421053,-0.4197994987468672,-0.5571566139579479,-1.1080022530684945,-0.006310974847401396,-2.0099293105585456,33.590550075711946,0.05252569868663902,False
A,Divergent vs Rational,Divergent,Rational,agency_preservation,42,19,3.3095238095238093,3.473684210526316,-0.16416040100250662,-0.3361613497279651,-0.8813351604063296,0.2090124609503995,-1.1889729840292134,32.1020440270245,0.24317113166597096,False
A,Divergent vs Rational,Divergent,Rational,anchor_management,42,19,2.8095238095238093,2.6842105263157894,0.12531328320801993,0.2921262410598276,-0.25224798674479015,0.8365004688644453,0.9980593225337422,29.763339596979318,0.3262961788850702,False
A,Divergent vs Rational,Divergent,Rational,coregulation_uptake,42,19,3.0476190476190474,3.0,0.04761904761904745,0.2616414127147222,-0.2822443528613655,0.8055271782908099,1.4317821063276306,41.0,0.15978587840991573,False
A,Divergent vs Rational,Divergent,Rational,timing_fit,42,19,3.9761904761904763,3.8421052631578947,0.13408521303258158,0.5432973094992604,-0.007112238089284961,1.0937068570878057,1.5034675287711092,20.81494642822476,0.14774040902109253,False
A,Divergent vs Rational,Divergent,Rational,implementation_grounding,42,19,1.9047619047619047,2.0526315789473686,-0.14786967418546393,-0.16090043434162865,-0.7035525744667415,0.3817517057834841,-0.6111439082931179,38.05553933604805,0.5447377920389216,False
A,Divergent vs Rational,Divergent,Rational,cognitive_load_clarity,42,19,3.238095238095238,3.3684210526315788,-0.13032581453634062,-0.28481412570573234,-0.8290663289088662,0.2594380774974016,-0.9893747623194541,30.84402661844504,0.3301782000907709,False
A,Divergent vs Rational,Divergent,Rational,stance_integrity,42,19,3.9761904761904763,3.8947368421052633,0.081453634085213,0.3714128051942935,-0.17448086825390102,0.917306478642488,1.0696056856490679,21.998283413002166,0.29639331977581085,False
A,Divergent vs Rational,Divergent,Rational,premature_convergence_risk,42,19,0.21428571428571427,0.3157894736842105,-0.10150375939849623,-0.2302351455403608,-0.7736735422887181,0.3132032512079964,-0.7997080568821788,30.83791464781126,0.42999734549823293,False
